PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Serge Ibaka,TOR,11/17/2018,TOR @ CHI,W,23,16,6,13,46.2,0,1,0,4,4,100,0,4,4,1,2,4,2,2,24
Serge Ibaka,TOR,11/16/2018,TOR @ BOS,L,34,21,8,15,53.3,2,3,66.7,3,3,100,1,3,4,0,1,1,0,3,4
Serge Ibaka,TOR,11/12/2018,TOR vs. NOP,L,27,19,8,16,50,2,6,33.3,1,2,50,6,8,14,2,0,0,0,3,-10
Serge Ibaka,TOR,11/10/2018,TOR vs. NYK,W,26,12,5,11,45.5,1,2,50,1,2,50,0,8,8,1,0,0,0,3,3
Serge Ibaka,TOR,11/07/2018,TOR @ SAC,W,28,14,6,10,60,2,3,66.7,0,0,-,3,11,14,0,0,3,3,4,5
Serge Ibaka,TOR,11/05/2018,TOR @ UTA,W,14,17,8,8,100,1,1,100,0,0,-,1,4,5,1,0,0,2,6,7
Serge Ibaka,TOR,11/04/2018,TOR @ LAL,W,29,34,15,17,88.2,1,1,100,3,3,100,3,7,10,2,2,0,1,4,32
Serge Ibaka,TOR,11/02/2018,TOR @ PHX,W,23,14,6,12,50,0,4,0,2,4,50,0,4,4,1,2,2,1,2,11
Serge Ibaka,TOR,10/30/2018,TOR vs. PHI,W,30,16,7,13,53.8,0,1,0,2,2,100,4,4,8,1,2,3,2,3,16
Serge Ibaka,TOR,10/29/2018,TOR @ MIL,L,29,30,12,21,57.1,2,5,40,4,4,100,2,7,9,1,0,1,0,3,7
Serge Ibaka,TOR,10/26/2018,TOR vs. DAL,W,26,11,5,13,38.5,0,3,0,1,1,100,2,6,8,1,0,2,5,2,-3
Serge Ibaka,TOR,10/24/2018,TOR vs. MIN,W,28,15,7,10,70,0,1,0,1,2,50,3,4,7,1,0,0,2,3,3
Serge Ibaka,TOR,10/22/2018,TOR vs. CHA,W,24,15,7,12,58.3,0,3,0,1,2,50,0,8,8,1,0,1,4,3,15
Serge Ibaka,TOR,10/20/2018,TOR @ WAS,W,27,16,4,10,40,0,1,0,8,10,80,3,6,9,0,1,1,2,2,1
Serge Ibaka,TOR,10/19/2018,TOR vs. BOS,W,34,21,10,14,71.4,1,2,50,0,1,0,4,2,6,2,0,1,1,2,16
Serge Ibaka,TOR,10/17/2018,TOR vs. CLE,W,27,9,2,10,20,1,3,33.3,4,6,66.7,4,3,7,1,2,3,2,6,-1
Patrick McCaw,TOR,03/28/2019,TOR @ NYK,W,19,3,1,3,33.3,1,2,50,0,0,-,0,3,3,2,0,0,0,1,-3
Patrick McCaw,TOR,03/26/2019,TOR vs. CHI,W,17,4,2,3,66.7,0,0,-,0,0,-,0,1,1,1,3,0,2,3,-4
Patrick McCaw,TOR,03/24/2019,TOR vs. CHA,L,11,2,1,2,50,0,1,0,0,0,-,0,0,0,0,0,0,0,1,-17
Patrick McCaw,TOR,03/20/2019,TOR @ OKC,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-1
Patrick McCaw,TOR,03/18/2019,TOR vs. NYK,W,20,2,1,1,100,0,0,-,0,0,-,0,2,2,1,1,0,1,1,1
Patrick McCaw,TOR,03/17/2019,TOR @ DET,L,10,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-4
Patrick McCaw,TOR,03/14/2019,TOR vs. LAL,W,27,6,1,3,33.3,1,1,100,3,4,75,0,1,1,2,1,1,2,3,2
Patrick McCaw,TOR,03/11/2019,TOR @ CLE,L,19,2,1,2,50,0,1,0,0,0,-,0,1,1,2,2,0,0,1,-5
Patrick McCaw,TOR,03/10/2019,TOR @ MIA,W,26,10,3,4,75,3,3,100,1,2,50,0,3,3,2,0,0,1,1,22
Patrick McCaw,TOR,03/08/2019,TOR @ NOP,W,7,0,0,1,0,0,1,0,0,0,-,0,2,2,3,0,0,0,1,11
Patrick McCaw,TOR,03/05/2019,TOR vs. HOU,L,10,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,0,-15
Patrick McCaw,TOR,03/03/2019,TOR @ DET,L,12,2,1,2,50,0,1,0,0,0,-,0,1,1,1,1,0,0,2,-6
Patrick McCaw,TOR,03/01/2019,TOR vs. POR,W,11,0,0,0,-,0,0,-,0,0,-,1,0,1,0,3,0,1,0,-12
Patrick McCaw,TOR,02/26/2019,TOR vs. BOS,W,13,6,2,7,28.6,0,2,0,2,2,100,0,2,2,1,1,0,0,5,3
Patrick McCaw,TOR,02/24/2019,TOR vs. ORL,L,15,8,3,5,60,1,1,100,1,1,100,0,2,2,1,1,0,0,1,-14
Patrick McCaw,TOR,02/22/2019,TOR vs. SAS,W,11,0,0,1,0,0,1,0,0,0,-,0,2,2,1,0,0,0,1,3
Patrick McCaw,TOR,02/11/2019,TOR vs. BKN,W,20,13,5,9,55.6,1,4,25,2,2,100,1,2,3,1,2,0,0,0,0
Patrick McCaw,TOR,02/09/2019,TOR @ NYK,W,13,4,1,1,100,0,0,-,2,2,100,1,1,2,0,1,1,0,2,-3
Patrick McCaw,TOR,02/07/2019,TOR @ ATL,W,19,0,0,2,0,0,1,0,0,0,-,1,3,4,1,2,0,0,4,18
Patrick McCaw,TOR,02/03/2019,TOR vs. LAC,W,12,0,0,0,-,0,0,-,0,0,-,0,1,1,2,0,0,2,2,-1
Patrick McCaw,TOR,01/31/2019,TOR vs. MIL,L,4,2,0,1,0,0,1,0,2,2,100,0,1,1,0,0,0,0,1,-2
Patrick McCaw,TOR,01/25/2019,TOR @ HOU,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,1
Patrick McCaw,TOR,01/23/2019,TOR @ IND,L,12,0,0,1,0,0,1,0,0,0,-,2,3,5,2,1,0,0,2,7
Patrick McCaw,TOR,01/22/2019,TOR vs. SAC,W,7,0,0,2,0,0,1,0,0,0,-,1,2,3,1,1,0,1,1,-2
Patrick McCaw,TOR,01/19/2019,TOR vs. MEM,W,18,2,1,2,50,0,0,-,0,0,-,0,2,2,2,1,0,3,0,-7
Patrick McCaw,TOR,01/17/2019,TOR vs. PHX,W,6,0,0,1,0,0,1,0,0,0,-,0,1,1,0,0,0,1,2,-10
Pascal Siakam,TOR,04/09/2019,TOR @ MIN,W,18,10,4,6,66.7,1,2,50,1,2,50,0,4,4,2,1,0,2,4,-2
Pascal Siakam,TOR,04/07/2019,TOR vs. MIA,W,37,23,8,10,80,3,5,60,4,4,100,1,9,10,1,0,0,3,2,19
Pascal Siakam,TOR,04/05/2019,TOR @ CHA,L,29,14,5,9,55.6,2,3,66.7,2,2,100,0,5,5,3,0,0,2,4,6
