MatchID,DATE,MATCHUP,TYPE,W_L,MIN,PTS,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
R0044,1/11/2019,BKN,HOME,W,240,122,48,105,45.7,11,35,31.4,15,24,62.5,13,42,55,32,10,4,9,22,17
R0045,1/13/2019,WAS,AWAY,W,290,140,49,104,47.1,13,36,36.1,29,36,80.6,17,42,59,24,16,8,21,27,2
R0046,1/16/2019,BOS,AWAY,L,240,108,41,92,44.6,7,29,24.1,19,21,90.5,14,28,42,20,9,2,10,14,-9
R0047,1/17/2019,PHX,HOME,W,240,111,43,86,50,7,28,25,18,25,72,9,30,39,27,8,8,14,27,2
R0048,1/19/2019,MEM,HOME,W,240,119,44,90,48.9,17,36,47.2,14,16,87.5,8,29,37,31,19,8,10,17,29
R0049,1/22/2019,SAC,HOME,W,239,120,40,91,44,16,40,40,24,35,68.6,12,34,46,25,7,5,16,21,15
R0050,1/23/2019,IND,AWAY,L,239,106,38,92,41.3,12,39,30.8,18,23,78.3,10,35,45,28,2,5,9,22,-4
R0051,1/25/2019,HOU,AWAY,L,243,119,44,91,48.4,14,36,38.9,17,18,94.4,12,35,47,27,4,1,19,25,-2
R0052,1/27/2019,DAL,AWAY,W,240,123,37,83,44.6,17,34,50,32,38,84.2,8,36,44,24,6,5,7,27,3
R0053,1/31/2019,MIL,HOME,L,240,92,37,93,39.8,7,27,25.9,11,13,84.6,8,31,39,16,9,4,16,20,-13
R0054,2/3/2019,LAC,HOME,W,240,121,43,94,45.7,9,33,27.3,26,31,83.9,16,40,56,21,10,5,14,28,18
R0055,2/5/2019,PHI,AWAY,W,239,119,41,89,46.1,11,31,35.5,26,32,81.3,15,27,42,27,12,0,10,27,12
R0056,2/7/2019,ATL,AWAY,W,239,119,40,87,46,13,40,32.5,26,33,78.8,12,38,50,29,6,2,8,23,18
R0057,2/9/2019,NYK,AWAY,W,242,104,33,86,38.4,14,35,40,24,29,82.8,10,37,47,27,8,5,12,15,5
R0058,2/11/2019,BKN,HOME,W,240,127,50,92,54.3,9,31,29,18,20,90,5,35,40,32,12,3,13,16,2
R0059,2/13/2019,WAS,HOME,W,241,129,44,92,47.8,16,38,42.1,25,30,83.3,9,43,52,32,8,8,14,27,9
R0060,2/22/2019,SAS,HOME,W,239,120,40,94,42.6,14,30,46.7,26,32,81.3,14,33,47,24,8,3,9,20,3
R0061,2/24/2019,ORL,HOME,L,240,98,38,91,41.8,11,28,39.3,11,14,78.6,6,36,42,30,6,2,13,20,-15
R0062,2/26/2019,BOS,HOME,W,241,118,46,94,48.9,17,36,47.2,9,14,64.3,8,37,45,33,7,5,8,24,23
R0063,3/1/2019,POR,HOME,W,240,119,45,81,55.6,10,28,35.7,19,21,90.5,2,30,32,29,9,6,14,17,2
R0064,3/3/2019,DET,AWAY,L,265,107,37,96,38.5,14,39,35.9,19,24,79.2,18,32,50,22,8,3,15,28,-5
R0065,3/5/2019,HOU,HOME,L,241,95,37,89,41.6,9,32,28.1,12,16,75,16,31,47,16,1,5,13,15,-12
R0066,3/8/2019,NOP,AWAY,W,240,127,53,99,53.5,13,37,35.1,8,9,88.9,7,44,51,31,10,12,16,14,23
R0067,3/10/2019,MIA,AWAY,W,239,125,42,74,56.8,21,40,52.5,20,26,76.9,6,38,44,32,8,8,19,23,21
R0068,3/11/2019,CLE,AWAY,L,242,101,40,84,47.6,11,39,28.2,10,17,58.8,6,37,43,20,8,3,20,24,-25
R0069,3/14/2019,LAL,HOME,W,238,111,36,91,39.6,16,41,39,23,29,79.3,13,39,52,21,15,6,17,20,13
R0070,3/17/2019,DET,AWAY,L,240,107,39,82,47.6,18,36,50,11,14,78.6,7,31,38,25,2,2,12,22,-3
R0071,3/18/2019,NYK,HOME,W,240,128,49,88,55.7,17,40,42.5,13,22,59.1,5,45,50,36,5,6,14,22,36
R0072,3/20/2019,OKC,AWAY,W,265,123,45,87,51.7,14,36,38.9,19,21,90.5,6,46,52,30,11,5,17,27,9
R0073,3/22/2019,OKC,HOME,L,240,109,39,78,50,13,25,52,18,21,85.7,11,35,46,20,7,7,21,24,-7
R0074,3/24/2019,CHA,HOME,L,241,114,45,77,58.4,11,26,42.3,13,13,100,3,32,35,29,6,11,13,17,-1
R0075,3/26/2019,CHI,HOME,W,241,112,42,86,48.8,12,28,42.9,16,16,100,2,37,39,28,13,7,15,16,9
R0076,3/28/2019,NYK,AWAY,W,240,117,40,89,44.9,20,47,42.6,17,22,77.3,6,38,44,32,8,6,8,28,25
R0077,3/30/2019,CHI,AWAY,W,240,124,46,89,51.7,18,38,47.4,14,18,77.8,6,41,47,35,10,4,11,15,23
R0078,4/1/2019,ORL,HOME,W,240,121,42,84,50,19,37,51.4,18,22,81.8,6,33,39,31,9,8,14,20,12
R0079,4/3/2019,BKN,AWAY,W,239,115,44,105,41.9,15,38,39.5,12,14,85.7,17,35,52,29,9,1,7,16,10
R0080,4/5/2019,CHA,AWAY,L,241,111,43,80,53.8,9,26,34.6,16,20,80,5,38,43,27,2,5,14,17,-2
R0081,4/7/2019,MIA,HOME,W,264,117,39,87,44.8,16,41,39,23,27,85.2,4,43,47,26,7,5,11,17,8
R0082,4/9/2019,MIN,AWAY,W,240,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,20
