MatchID,PlayerID,Minutes,Points,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
R0009,RAP003,26,8,3,8,37.5,2,5,40,0,0,,0,2,2,0,1,1,2,1,-2
R0009,RAP002,16,9,3,7,42.9,3,5,60,0,0,,0,1,1,2,0,1,0,1,4
R0010,RAP022,29,34,15,17,88.2,1,1,100,3,3,100,3,7,10,2,2,0,1,4,32
R0010,RAP020,35,16,8,14,57.1,0,1,0,0,0,,5,8,13,3,1,0,2,2,25
R0010,RAP019,24,7,3,9,33.3,1,5,20,0,0,,0,1,1,2,0,0,0,2,19
R0010,RAP018,14,0,0,2,0,0,2,0,0,0,,1,2,3,1,1,0,2,4,-11
R0010,RAP013,33,21,8,19,42.1,3,7,42.9,2,2,100,1,5,6,15,2,1,1,1,26
R0010,RAP010,17,14,5,9,55.6,0,1,0,4,4,100,0,8,8,1,2,1,0,3,-16
R0010,RAP006,23,3,0,6,0,0,4,0,3,4,75,0,0,0,2,0,0,5,4,-10
R0010,RAP004,22,11,5,8,62.5,0,2,0,1,1,100,2,0,2,2,0,0,0,1,-10
R0010,RAP003,26,15,5,8,62.5,5,8,62.5,0,0,,1,2,3,3,0,2,1,3,22
R0010,RAP002,17,0,0,6,0,0,4,0,0,0,,0,3,3,1,1,0,0,0,-7
R0011,RAP022,14,17,8,8,100,1,1,100,0,0,,1,4,5,1,0,0,2,6,7
R0011,RAP020,31,16,7,11,63.6,0,2,0,2,2,100,1,6,7,2,1,0,2,2,25
R0011,RAP019,25,17,7,13,53.8,3,5,60,0,1,0,0,1,1,0,2,0,1,4,7
R0011,RAP018,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
R0011,RAP015,4,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,-9
R0011,RAP014,4,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,-9
R0011,RAP013,29,17,5,9,55.6,3,7,42.9,4,4,100,2,5,7,11,2,0,4,3,29
R0011,RAP010,22,11,4,10,40,1,2,50,2,2,100,0,6,6,0,1,2,1,1,9
R0011,RAP007,13,8,4,5,80,0,1,0,0,0,,1,2,3,0,0,0,1,2,-3
R0011,RAP006,28,17,6,14,42.9,2,5,40,3,3,100,0,4,4,6,0,0,2,0,10
R0011,RAP004,24,9,3,6,50,1,3,33.3,2,2,100,0,1,1,0,0,0,0,0,-5
R0011,RAP003,22,7,3,5,60,1,3,33.3,0,0,,0,2,2,0,3,1,0,3,6
R0011,RAP002,25,5,2,4,50,1,3,33.3,0,0,,2,4,6,1,0,0,1,5,0
R0012,RAP022,28,14,6,10,60,2,3,66.7,0,0,,3,11,14,0,0,3,3,4,5
R0012,RAP020,35,21,8,11,72.7,0,2,0,5,5,100,1,2,3,1,2,0,1,3,2
R0012,RAP019,24,11,5,9,55.6,1,3,33.3,0,0,,3,4,7,0,1,0,0,3,11
R0012,RAP015,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
R0012,RAP013,35,16,6,13,46.2,2,8,25,2,3,66.7,1,1,2,8,3,0,4,3,8
R0012,RAP012,31,25,7,17,41.2,2,5,40,9,9,100,2,9,11,2,0,0,5,0,0
R0012,RAP010,20,11,4,7,57.1,0,0,,3,4,75,2,8,10,1,0,1,1,3,4
R0012,RAP006,21,8,3,9,33.3,2,6,33.3,0,0,,0,1,1,2,2,0,0,3,3
R0012,RAP004,13,2,0,3,0,0,1,0,2,2,100,0,0,0,1,1,0,1,0,3
R0012,RAP003,31,6,2,10,20,2,8,25,0,0,,1,4,5,2,1,0,5,1,11
R0013,RAP022,26,12,5,11,45.5,1,2,50,1,2,50,0,8,8,1,0,0,0,3,3
R0013,RAP020,28,23,6,7,85.7,3,4,75,8,9,88.9,1,2,3,2,0,0,2,3,8
R0013,RAP019,25,16,7,10,70,1,4,25,1,2,50,1,1,2,0,0,1,1,2,8
R0013,RAP014,2,2,1,1,100,0,0,,0,0,,0,1,1,0,0,0,1,0,-2
R0013,RAP013,27,10,3,6,50,1,4,25,3,3,100,0,2,2,8,0,0,0,1,6
R0013,RAP012,23,12,2,7,28.6,0,2,0,8,10,80,2,5,7,3,1,0,3,0,8
R0013,RAP010,21,19,6,8,75,1,1,100,6,10,60,3,7,10,1,1,1,1,3,18
R0013,RAP007,2,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
R0013,RAP006,22,7,3,7,42.9,1,3,33.3,0,0,,1,3,4,4,0,0,1,3,14
R0013,RAP004,24,12,4,6,66.7,2,3,66.7,2,2,100,1,4,5,3,1,1,1,0,14
R0013,RAP003,21,9,3,7,42.9,3,7,42.9,0,0,,2,1,3,0,3,0,4,1,2
R0013,RAP002,18,6,2,8,25,1,5,20,1,2,50,1,0,1,2,2,1,1,4,3
R0014,RAP022,27,19,8,16,50,2,6,33.3,1,2,50,6,8,14,2,0,0,0,3,-10
R0014,RAP020,28,22,8,12,66.7,2,4,50,4,4,100,0,3,3,1,1,3,0,5,-10
R0014,RAP019,24,17,6,13,46.2,2,8,25,3,5,60,0,2,2,0,3,0,1,2,-9
R0014,RAP015,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2
R0014,RAP014,7,0,0,2,0,0,2,0,0,0,,0,2,2,1,0,0,1,0,1
R0014,RAP013,33,4,1,9,11.1,0,6,0,2,2,100,0,2,2,11,0,0,2,1,-17
R0014,RAP012,34,20,7,20,35,1,6,16.7,5,5,100,2,4,6,2,1,1,1,2,-15
R0014,RAP010,15,2,0,3,0,0,1,0,2,2,100,1,6,7,2,0,1,2,2,-5
R0014,RAP007,2,0,0,2,0,0,0,,0,0,,1,1,2,0,0,0,0,0,2
R0014,RAP006,22,10,4,8,50,2,4,50,0,0,,0,0,0,3,2,0,0,0,-12
R0014,RAP004,16,10,3,5,60,2,3,66.7,2,2,100,2,0,2,0,1,0,2,0,-3
R0014,RAP003,23,3,1,4,25,1,4,25,0,0,,1,2,3,0,1,0,1,5,-2
R0014,RAP002,8,3,1,3,33.3,1,1,100,0,0,,0,0,0,0,0,0,0,0,-2
R0015,RAP020,29,17,8,12,66.7,1,1,100,0,1,0,2,5,7,2,1,1,1,4,0
R0015,RAP019,24,7,3,12,25,1,6,16.7,0,2,0,2,1,3,2,2,1,0,3,1
R0015,RAP015,9,0,0,2,0,0,1,0,0,0,,0,2,2,0,0,0,1,2,-1
R0015,RAP013,38,14,6,10,60,1,3,33.3,1,2,50,1,6,7,7,0,0,5,1,-3
R0015,RAP012,35,26,10,18,55.6,0,2,0,6,8,75,0,9,9,4,3,0,6,2,1
R0015,RAP010,27,14,6,12,50,0,1,0,2,2,100,2,4,6,0,0,1,3,4,5
R0015,RAP007,21,17,8,10,80,0,0,,1,2,50,3,6,9,0,1,0,3,1,-7
R0015,RAP006,23,4,2,8,25,0,2,0,0,0,,1,1,2,5,1,0,0,1,-16
R0015,RAP004,14,0,0,4,0,0,3,0,0,0,,1,1,2,2,1,0,1,0,-1
R0015,RAP003,20,5,2,4,50,1,1,100,0,0,,0,2,2,1,0,0,0,1,11
R0016,RAP022,34,21,8,15,53.3,2,3,66.7,3,3,100,1,3,4,0,1,1,0,3,4
R0016,RAP020,39,16,6,11,54.5,0,0,,4,6,66.7,3,6,9,4,2,0,2,6,-2
R0016,RAP019,9,5,2,3,66.7,1,2,50,0,0,,0,0,0,0,0,0,2,1,-15
R0016,RAP013,43,14,3,12,25,1,6,16.7,7,8,87.5,0,2,2,7,2,0,4,3,5
R0016,RAP012,43,31,11,25,44,0,3,0,9,11,81.8,2,13,15,4,3,0,2,0,4
R0016,RAP010,19,11,5,8,62.5,0,0,,1,1,100,3,2,5,1,0,1,2,1,-13
R0016,RAP006,22,0,0,6,0,0,6,0,0,0,,1,0,1,2,1,0,1,2,-21
R0016,RAP004,26,7,3,7,42.9,1,2,50,0,0,,0,2,2,2,2,1,0,1,-15
R0016,RAP003,30,11,4,10,40,3,7,42.9,0,0,,1,4,5,0,1,1,0,6,18
R0017,RAP022,23,16,6,13,46.2,0,1,0,4,4,100,0,4,4,1,2,4,2,2,24
R0017,RAP020,29,12,4,10,40,0,2,0,4,4,100,1,7,8,5,1,1,1,2,30
R0017,RAP015,19,9,3,4,75,2,3,66.7,1,1,100,0,3,3,0,1,0,5,2,9
R0017,RAP014,22,10,5,9,55.6,0,3,0,0,0,,0,1,1,2,3,1,4,4,9
R0017,RAP013,29,8,3,11,27.3,2,8,25,0,0,,0,7,7,8,3,0,2,2,23
R0017,RAP011,12,8,2,2,100,2,2,100,2,2,100,0,4,4,1,0,0,0,1,6
R0017,RAP010,14,8,4,6,66.7,0,1,0,0,0,,1,8,9,1,0,0,1,2,14
R0017,RAP007,11,7,3,4,75,0,0,,1,2,50,1,2,3,2,0,0,3,3,1
R0017,RAP006,29,18,7,11,63.6,4,7,57.1,0,0,,2,2,4,4,1,1,1,2,31
R0017,RAP004,19,7,3,8,37.5,1,3,33.3,0,0,,2,2,4,4,2,1,3,1,14
R0017,RAP003,26,17,7,7,100,3,3,100,0,0,,1,3,4,3,1,0,1,2,35
R0017,RAP001,7,2,1,4,25,0,2,0,0,0,,0,3,3,0,0,2,0,1,-1
R0018,RAP022,30,14,7,15,46.7,0,3,0,0,0,,2,7,9,4,0,1,2,2,2
R0018,RAP020,34,15,7,11,63.6,0,2,0,1,1,100,1,8,9,1,1,1,2,5,1
R0018,RAP014,20,8,2,5,40,2,5,40,2,2,100,1,2,3,2,0,1,0,1,6
R0018,RAP013,32,9,3,9,33.3,3,8,37.5,0,0,,0,4,4,7,1,0,3,3,-6
R0018,RAP012,30,18,8,16,50,1,3,33.3,1,3,33.3,1,5,6,2,1,0,2,3,-3
R0018,RAP010,21,8,4,8,50,0,2,0,0,0,,0,6,6,0,2,0,3,4,3
R0018,RAP006,26,4,1,5,20,0,1,0,2,2,100,0,2,2,5,1,0,1,1,6
R0018,RAP004,13,4,2,5,40,0,1,0,0,0,,0,1,1,2,0,1,2,0,5
R0018,RAP003,34,13,5,13,38.5,3,9,33.3,0,0,,1,2,3,0,1,1,1,0,-4
R0019,RAP022,21,19,8,11,72.7,1,4,25,2,2,100,3,6,9,1,0,0,4,4,4
R0019,RAP020,32,22,9,13,69.2,1,3,33.3,3,5,60,1,3,4,2,2,0,1,2,19
R0019,RAP015,3,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,0,-2
R0019,RAP014,15,3,1,5,20,1,2,50,0,0,,0,2,2,2,0,0,2,1,-8
R0019,RAP013,32,21,7,12,58.3,3,6,50,4,4,100,2,10,12,17,0,0,2,1,28
R0019,RAP011,3,4,1,1,100,0,0,,2,2,100,0,0,0,0,0,0,1,1,-2
R0019,RAP010,27,24,9,12,75,1,2,50,5,8,62.5,3,10,13,2,0,1,2,2,21
R0019,RAP007,13,3,1,5,20,0,0,,1,2,50,2,4,6,1,2,0,0,2,-10
R0019,RAP006,36,11,5,11,45.5,1,3,33.3,0,0,,0,1,1,6,0,0,1,1,15
R0019,RAP004,23,6,3,7,42.9,0,1,0,0,0,,1,1,2,1,0,0,2,2,2
R0019,RAP003,32,6,2,10,20,2,7,28.6,0,0,,1,2,3,1,2,0,2,4,15
R0019,RAP001,3,5,2,2,100,1,1,100,0,0,,1,1,2,0,0,0,0,1,-2
R0020,RAP022,27,12,5,9,55.6,1,2,50,1,2,50,3,6,9,2,1,4,3,5,23
R0020,RAP020,26,7,2,5,40,1,1,100,2,2,100,0,8,8,3,0,1,1,4,4
R0020,RAP019,19,15,6,11,54.5,3,5,60,0,0,,0,0,0,1,0,0,0,2,12
R0020,RAP015,1,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,-4
R0020,RAP014,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-4
R0020,RAP013,30,15,4,9,44.4,2,4,50,5,6,83.3,1,2,3,9,2,0,3,3,11
R0020,RAP012,30,27,12,22,54.5,1,4,25,2,3,66.7,2,8,10,2,2,0,1,0,14
R0020,RAP010,18,8,3,7,42.9,0,0,,2,2,100,4,3,7,3,0,0,3,2,-4
R0020,RAP007,3,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,-1
R0020,RAP006,23,13,4,7,57.1,3,5,60,2,2,100,1,3,4,7,0,0,1,0,23
R0020,RAP004,19,10,4,4,100,2,2,100,0,0,,0,3,3,3,0,1,1,3,1
R0020,RAP003,25,9,3,7,42.9,3,7,42.9,0,0,,1,2,3,2,0,0,1,4,15
R0020,RAP002,18,9,3,10,30,1,7,14.3,2,2,100,1,1,2,0,0,0,1,0,0
R0021,RAP022,24,8,3,9,33.3,0,0,,2,2,100,5,2,7,1,0,1,0,2,-14
R0021,RAP020,31,21,8,9,88.9,1,1,100,4,4,100,1,5,6,3,2,2,1,1,25
R0021,RAP019,16,4,2,4,50,0,2,0,0,2,0,0,3,3,1,0,1,0,4,-15
R0021,RAP013,35,12,5,12,41.7,2,9,22.2,0,0,,0,2,2,10,0,0,1,4,19
R0021,RAP012,36,29,8,20,40,3,8,37.5,10,12,83.3,0,10,10,2,1,2,1,2,23
R0021,RAP010,24,17,8,10,80,0,0,,1,1,100,2,8,10,2,0,0,1,2,24
R0021,RAP006,19,10,4,6,66.7,1,2,50,1,2,50,0,2,2,4,1,1,3,0,-7
R0021,RAP004,13,10,4,7,57.1,2,3,66.7,0,0,,2,2,4,1,0,0,1,2,-9
R0021,RAP003,29,4,2,6,33.3,0,4,0,0,0,,1,0,1,1,0,0,1,3,19
R0021,RAP002,13,10,3,7,42.9,2,6,33.3,2,2,100,0,2,2,0,0,0,0,1,-15
R0022,RAP022,35,16,7,11,63.6,0,2,0,2,2,100,1,2,3,2,0,1,3,4,10
R0022,RAP020,31,10,3,5,60,0,1,0,4,6,66.7,1,5,6,4,0,1,1,4,10
R0022,RAP019,17,5,2,5,40,1,3,33.3,0,1,0,0,1,1,0,0,0,1,1,-2
R0022,RAP014,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
R0022,RAP013,37,24,8,14,57.1,5,8,62.5,3,4,75,0,2,2,6,0,0,3,1,10
R0022,RAP012,37,17,5,11,45.5,1,4,25,6,9,66.7,0,10,10,5,2,1,1,2,12
R0022,RAP010,14,9,3,3,100,1,1,100,2,2,100,1,2,3,2,0,1,3,2,-5
R0022,RAP006,22,18,6,6,100,3,3,100,3,4,75,1,1,2,3,3,0,1,3,8
R0022,RAP004,14,3,1,3,33.3,1,1,100,0,0,,0,0,0,2,0,0,1,0,-3
R0022,RAP003,28,14,5,9,55.6,4,8,50,0,0,,0,4,4,0,0,1,1,0,6
R0022,RAP002,5,6,2,2,100,2,2,100,0,0,,0,0,0,1,0,0,0,1,-4
R0023,RAP022,37,20,8,13,61.5,1,3,33.3,3,4,75,1,3,4,1,0,1,3,4,16
R0023,RAP020,42,26,8,10,80,3,4,75,7,8,87.5,0,2,2,1,0,1,1,3,7
R0023,RAP019,16,5,2,7,28.6,1,6,16.7,0,0,,1,2,3,0,0,0,3,0,-9
R0023,RAP013,41,10,4,14,28.6,2,7,28.6,0,0,,0,8,8,12,3,0,1,1,8
R0023,RAP012,44,37,14,24,58.3,3,6,50,6,6,100,2,6,8,3,1,1,1,4,3
R0023,RAP010,16,12,4,5,80,0,0,,4,4,100,0,4,4,0,0,1,1,2,-13
R0023,RAP006,15,0,0,3,0,0,3,0,0,0,,0,1,1,3,0,0,2,2,-13
R0023,RAP004,12,8,2,3,66.7,2,2,100,2,2,100,0,0,0,2,0,0,0,2,1
R0023,RAP003,39,13,5,10,50,3,6,50,0,0,,3,2,5,3,1,2,0,4,16
R0023,RAP002,3,0,0,1,0,0,1,0,0,0,,0,2,2,0,0,0,2,1,-1
R0024,RAP022,31,10,4,9,44.4,0,1,0,2,2,100,1,5,6,1,0,0,1,2,20
R0024,RAP020,33,15,6,11,54.5,0,2,0,3,4,75,0,5,5,5,0,0,3,4,14
R0024,RAP019,22,8,3,5,60,0,1,0,2,4,50,1,5,6,1,0,0,0,1,-15
R0024,RAP012,37,34,11,21,52.4,3,9,33.3,9,9,100,1,8,9,2,1,2,1,2,28
R0024,RAP010,18,5,2,5,40,0,1,0,1,2,50,1,3,4,0,0,1,2,4,-9
R0024,RAP006,33,15,5,12,41.7,1,4,25,4,4,100,0,3,3,4,1,0,2,3,14
R0024,RAP004,20,2,1,4,25,0,1,0,0,0,,0,1,1,1,2,0,0,1,-17
R0024,RAP003,32,15,6,9,66.7,3,5,60,0,0,,2,5,7,0,0,2,1,2,24
R0024,RAP002,15,2,1,4,25,0,2,0,0,0,,0,1,1,1,1,0,0,0,-4
R0025,RAP022,31,15,6,9,66.7,1,4,25,2,2,100,0,5,5,2,0,1,2,4,-6
R0025,RAP020,29,14,7,10,70,0,2,0,0,0,,1,5,6,7,2,0,3,2,-1
R0025,RAP019,12,6,2,5,40,2,3,66.7,0,0,,0,1,1,0,0,0,1,3,-2
R0025,RAP013,34,5,1,7,14.3,1,6,16.7,2,2,100,1,2,3,11,1,3,3,3,-12
R0025,RAP012,35,27,10,19,52.6,1,7,14.3,6,6,100,2,6,8,2,0,0,3,2,-13
R0025,RAP010,18,8,3,6,50,0,0,,2,2,100,1,9,10,0,0,1,1,5,0
